data_year,property_id,incident_id,prop_loss_id,stolen_count,recovered_count
2021,143821460,143719049,1,,
2021,143821461,143719051,6,,
2021,143821432,143719017,5,,1
2021,143821433,143719017,7,1,
2021,143821644,143719241,4,,
2021,143821419,143718998,6,,
2021,143821434,143719018,6,,
2021,143821396,143718969,6,,
2021,143821420,143718999,4,,
2021,143821394,143718966,6,,
2021,143821463,143719054,4,,
2021,143821447,143719033,5,,1
2021,143821448,143719033,7,1,
2021,143821435,143719019,6,,
2021,143821465,143719056,7,,
2021,143821467,143719058,6,,
2021,143821466,143719057,4,,
2021,143821468,143719059,7,,
2021,143821395,143718967,6,,
2021,143821469,143719060,4,,
2021,143821470,143719061,4,,
2021,143821436,143719020,6,,
2021,143821449,143719034,6,,
2021,143821389,143718962,6,,
2021,143821421,143719000,4,,
2021,143821629,143719226,6,,
2021,143821450,143719035,6,,
2021,143821471,143719062,7,,
2021,143821437,143719022,4,,
2021,143821388,143718961,7,,
2021,143821422,143719001,6,,
2021,143821423,143719002,6,,
2021,143821424,143719003,7,,
2021,143821425,143719005,6,,
2021,143821438,143719024,6,,
2021,143821452,143719039,6,,
2021,143821472,143719063,6,,
2021,143821439,143719025,6,,
2021,143821473,143719065,6,,
2021,143821440,143719026,5,,
2021,143821441,143719026,7,,
2021,143821453,143719041,6,,
2021,143821474,143719066,5,,1
2021,143821475,143719066,7,1,
2021,143821442,143719027,6,,
2021,143821631,143719228,6,,
2021,143821454,143719042,6,,
2021,143821426,143719006,6,,
2021,143821632,143719229,5,,1
2021,143821633,143719229,7,1,
2021,143821634,143719231,6,,
2021,143821455,143719043,6,,
2021,143821427,143719009,6,,
2021,143821429,143719011,6,,
2021,143821636,143719233,4,,
2021,143821637,143719234,5,,
2021,143821638,143719234,7,,
2021,143821390,143718963,6,,
2021,143821391,143718964,1,,
2021,143821392,143718964,6,,
2021,143821430,143719014,7,,
2021,143821457,143719046,6,,
2021,143821458,143719047,7,,
2021,149089004,149838001,6,,
2021,143821646,143719243,6,,
2021,143821640,143719237,5,,1
2021,143821641,143719237,7,1,
2021,143821443,143719029,5,,
2021,143821444,143719029,7,1,
2021,143821661,143719260,6,,
2021,143821693,143719297,6,,
2021,143821397,143718970,4,,
2021,143821398,143718970,6,,
2021,148133565,148744677,7,,
2021,143821642,143719239,7,,
2021,143821649,143719247,6,,
2021,143821647,143719245,4,,
2021,143821679,143719279,6,,
2021,143821680,143719280,6,,
2021,143821682,143719283,6,,
2021,143821694,143719299,6,,
2021,143821696,143719301,4,,
2021,143821445,143719030,7,,
2021,143821459,143719048,4,,
2021,143821650,143719248,6,,
2021,143821651,143719249,6,,
2021,143821652,143719250,6,,
2021,143821663,143719263,6,,
2021,143821431,143719016,7,,
2021,143821697,143719302,7,,
2021,143821698,143719303,6,,
2021,143821700,143719305,4,,
2021,143821683,143719285,1,,
2021,143821653,143719251,7,,
2021,143821664,143719264,1,,
2021,143821665,143719264,6,,
2021,143821666,143719265,6,,
2021,143821686,143719289,6,,
2021,143821702,143719308,6,,
2021,143821667,143719266,1,,
2021,143821669,143719268,6,,
2021,143821670,143719269,7,,
2021,143821654,143719253,5,,
2021,143821655,143719253,7,,
2021,143821705,143719311,6,,
2021,143821703,143719309,6,,
2021,143821671,143719270,4,,
2021,143821401,143718974,6,,
2021,143821673,143719272,7,,
2021,143821399,143718972,6,,
2021,143821656,143719254,6,,
2021,143821687,143719290,6,,
2021,143821688,143719291,5,,
2021,143821689,143719291,7,,
2021,143821402,143718975,6,,
2021,143821674,143719273,6,,
